sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
IA.BHCM.00.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.BSMI.--.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.BTCM.00.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.GHMI.00.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.KARPI.--.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.MBRPI.--.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.MGAI.--.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.MRSI.--.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.NBMI.00.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.OBMI.--.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.POCI.00.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.TGCM.00.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.TMTMM.--.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.TPCI.00.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.WTKSI.--.HNZ,trad_p,0,1,0.0,0.0,1.0,0.0
IA.AAI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.APSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.BBLSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.BUBSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.BUMSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.FKSPI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.GARPI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.KGCM.00.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.KMSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.KORPI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.LBMI.00.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.LKUCM.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.MISSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.MUMUI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.NLAI.00.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.NSBMM.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.SAPSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.TBMUI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.TIPSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.TOBSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.TOCM.00.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.TOTSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.TTSMI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.UTUSI.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.WMCM.00.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
IA.WSTMM.--.HNZ,trad_p,1,1,100.0,1.0,1.0,100.0
